"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"UPI_130",17,0,0,0.285789473684211,14.2829823573574,0.0673684210526316,54.0540540540541,45.945945945946,1.75,291.23840332,7.57489106938,39.1104546,153,3.61111111111111,1,4.72222222222222,0,0,360
"UPI_135",0,0,4,0.218666666666667,15.859715965966,0.198333333333333,20,76.6666666666667,0,370.52243042,4.84535522874,4.3185711,0,0,0,0,0,1.66666666666667,240
"UPI_149",0,0,0,0.395531914893617,13.6347685185185,0.225744680851064,65.2173913043478,32.6086956521739,0.333333333333333,252.205688477,16.2083220712,43.5465355,175.26,40.4444444444444,1,0,0,0,450
"UPI_154",0,0,0,0.310810810810811,15.2284841091091,0.231351351351351,94.5945945945946,2.7027027027027,0.416666666666667,311.518035889,12.0185988824,13.6107121,225,20.2279202279202,1,0,0,0,351
"UPI_156",0,0,0,0.197,10.161534034034,0.2665,82.5,15,0.75,287.742218018,1.98241709996,54.1856232,180,3.43137254901961,1,0,0,0,204
"UPI_157",23,0,0,0.432083333333333,14.6140015015015,0.178125,50,45.8333333333333,0.75,293.397827148,29.216932805,21.1315403,220,35.3333333333333,1,5.11111111111111,0,0,450
"UPI_163",99,0,0,0.247555555555556,14.7485241491491,0.135333333333333,88.8888888888889,8.88888888888889,0.666666666666667,244.87701416,11.2180347874,40.6095695,184,35,1,55,0,0,180
"UPI_170",0,0,0,0.116666666666667,17.0161211211211,0.0875,66.6666666666667,33.3333333333333,0.833333333333333,300.602783203,1.43543310046,69.2333908,0,0,0,0,0,0,150
"UPI_14b",0,0,0,0.339375,13.6783602352352,0.3084375,28.125,62.5,0,202.167724609,9.50311147822,64.087616,227,6.66666666666667,1,0,0,0,300
"UPI_32b",0,0,0,0.303421052631579,16.0572891641642,0.310263157894737,65.7894736842105,18.4210526315789,0.25,345.842590332,5.33973929184,2.6046841,0,0,0,0,0,0,150
"UPI_57b",0,0,2,0.364411764705882,18.1631131131131,0.104411764705882,18.75,81.25,0,359.644226074,12.4230490702,8.9146099,0,0,0,0,0,0.952380952380952,210
"UPI_201",0,0,0,0.171111111111111,12.1893931431431,0.253428571428571,85.1851851851852,3.7037037037037,2.09090909090909,354.677093506,3.70939178978,19.5544434,166.5,17.0068027210884,1,0,0,0,294
"UPI_202",0,0,0,0.202424242424242,13.3164614614615,0.512727272727273,87.8787878787879,12.1212121212121,0.0833333333333333,317.412628174,4.04378662415,30.7904701,190.5,17.037037037037,1,0,0,0,270
"YEL_1",0,1,0,0.324375,17.5538863863864,0.265,64.5833333333333,25,0.583333333333333,298.967102051,5.22784912796,3.7210562,305.5,5.33333333333333,1,0,0.222222222222222,0,450
"YEL_4",0,0,0,0.166285714285714,12.6945884773663,0.336,88.5714285714286,11.4285714285714,0.5,274.218017578,13.3601556183,8.1076403,197,20.8333333333333,1,0,0,0,360
"YEL_17",0,0,0,0.3172,17.1538100600601,0.4924,72,28,0,322.523254395,5.77456248237,1.6840376,390,0.416666666666667,1,0,0,0,240
"YEL_20",0,0,0,0.225,17.6584553303303,0.191739130434783,73.9130434782609,13.0434782608696,1.08333333333333,283.982055664,5.06711677349,19.3974342,207,16,1,0,0,0,450
